TRAINING_SIZE PERFORMANCE_TEST_DATA PERFORAMANCE_TRAINING_DATA
0.0 0.0 NaN
1582.0 96.15129396151293 81.47914032869785
3164.0 96.15129396151293 81.3527180783818
4747.0 96.15129396151293 82.30461344006741
6329.0 96.15129396151293 82.09827776899984
7912.0 96.15129396151293 82.0020222446916
9494.0 96.2913809629138 81.95702548978302
11076.0 96.2913809629138 81.63596966413868
12659.0 96.15129396151293 81.53092661347658
14241.0 96.15129396151293 81.82009690330736
15824.0 96.15129396151293 81.711324570273
17406.0 96.15129396151293 81.73618292542801
18988.0 96.15129396151293 81.58837160311776
20571.0 96.15129396151293 81.42530747168344
22153.0 96.15129396151293 81.55554552430822
23736.0 96.15129396151293 81.4416919447253
25318.0 96.15129396151293 81.4914290228296
26900.0 96.04807196048073 81.59107806691449
28483.0 96.00383396003834 81.68381139627147
30065.0 96.00383396003834 81.62647596873441
