TRAINING_SIZE ERROR_TEST_DATA ERROR_TRAINING_DATA
0.0 0.0 NaN
1582.0 0.038487060384870604 0.18520859671302148
3164.0 0.038487060384870604 0.18647281921618206
4747.0 0.038487060384870604 0.17695386559932588
6329.0 0.038487060384870604 0.17901722231000158
7912.0 0.038487060384870604 0.17997977755308392
9494.0 0.0370861903708619 0.1804297451021698
11076.0 0.0370861903708619 0.18364030335861323
12659.0 0.038487060384870604 0.1846907338652342
14241.0 0.038487060384870604 0.18179903096692648
15824.0 0.038487060384870604 0.18288675429726997
17406.0 0.038487060384870604 0.18263817074571986
18988.0 0.038487060384870604 0.1841162839688224
20571.0 0.038487060384870604 0.1857469252831656
22153.0 0.038487060384870604 0.1844445447569178
23736.0 0.038487060384870604 0.1855830805527469
25318.0 0.038487060384870604 0.18508570977170394
26900.0 0.039519280395192806 0.184089219330855
28483.0 0.03996166039961661 0.1831618860372854
30065.0 0.03996166039961661 0.18373524031265592
